(173, 1513, 36, [1, 2, 0], [0, 16, 32], [16, 32, 32])
(174, 185, 138, [1, 2, 0], [0, 16, 32], [16, 32, 32])
(175, 1028, 411, [1, 2, 0], [0, 16, 32], [16, 32, 32])
(176, 1039, 417, [1, 2, 0], [0, 16, 32], [16, 32, 32])
(177, 874, 404, [1, 2, 0], [0, 16, 32], [16, 32, 32])
(178, 1019, 396, [1, 2, 0], [0, 16, 32], [16, 32, 32])
(179, 1127, 63, [1, 2, 0], [0, 16, 32], [16, 32, 32])
(180, 1053, 446, [1, 2, 0], [0, 16, 32], [16, 32, 32])
(181, 391, 86, [1, 2, 0], [0, 16, 32], [16, 32, 32])
(182, 194, 217, [1, 2, 0], [0, 16, 32], [16, 32, 32])
(183, 1000, 414, [1, 2, 0], [0, 16, 32], [16, 32, 32])
(184, 1593, 109, [1, 2, 0], [0, 16, 32], [16, 32, 32])
(185, 1028, 411, [1, 2, 0], [0, 16, 32], [16, 32, 32])
(186, 1007, 395, [1, 2, 0], [0, 16, 32], [16, 32, 32])
(187, 787, 121, [1, 2, 0], [0, 16, 32], [16, 32, 32])
(188, 1050, 404, [1, 2, 0], [0, 16, 32], [16, 32, 32])
(189, 991, 108, [1, 2, 0], [0, 16, 32], [16, 32, 32])
(190, 1039, 390, [1, 2, 0], [0, 16, 32], [16, 32, 32])
(191, 203, 212, [1, 2, 0], [0, 16, 32], [16, 32, 32])
(192, 1023, 396, [1, 2, 0], [0, 16, 32], [16, 32, 32])
(193, 396, 83, [1, 2, 0], [0, 16, 32], [16, 32, 32])
(194, 375, 59, [1, 2, 0], [0, 16, 32], [16, 32, 32])
(195, 962, 429, [1, 2, 0], [0, 16, 32], [16, 32, 32])
(196, 1171, 388, [1, 2, 0], [0, 16, 32], [16, 32, 32])
(197, 879, 55, [1, 2, 0], [0, 16, 32], [16, 32, 32])
(198, 1085, 442, [1, 2, 0], [0, 16, 32], [16, 32, 32])
(199, 1058, 483, [1, 2, 0], [0, 16, 32], [16, 32, 32])
(200, 960, 395, [1, 2, 0], [0, 16, 32], [16, 32, 32])
(201, 1199, 108, [1, 2, 0], [0, 16, 32], [16, 32, 32])
(202, 1037, 419, [1, 2, 0], [0, 16, 32], [16, 32, 32])
(203, 1115, 413, [1, 2, 0], [0, 16, 32], [16, 32, 32])
(204, 977, 429, [1, 2, 0], [0, 16, 32], [16, 32, 32])
(205, 485, 91, [1, 2, 0], [0, 16, 32], [16, 32, 32])
(206, 1000, 414, [1, 2, 0], [0, 16, 32], [16, 32, 32])
(207, 1192, 646, [1, 2, 0], [0, 16, 32], [16, 32, 32])
(208, 203, 162, [1, 2, 0], [0, 16, 32], [16, 32, 32])
(209, 433, 84, [1, 2, 0], [0, 16, 32], [16, 32, 32])
(210, 1020, 414, [1, 2, 0], [0, 16, 32], [16, 32, 32])
(211, 1337, 38, [1, 2, 0], [0, 16, 32], [16, 32, 32])
(212, 996, 389, [1, 2, 0], [0, 16, 32], [16, 32, 32])
(213, 1171, 395, [1, 2, 0], [0, 16, 32], [16, 32, 32])
(214, 209, 183, [1, 2, 0], [0, 16, 32], [16, 32, 32])
