(157, 1105, 399, [1, 2, 3, 4, 0], [0, 15, 30, 45, -1], [15, 30, 45, 60, -1])
(158, 389, 92, [1, 2, 3, 4, 0], [0, 15, 30, 45, -1], [15, 30, 45, 60, -1])
(159, 200, 167, [1, 2, 3, 4, 0], [0, 15, 30, 45, -1], [15, 30, 45, 60, -1])
(160, 1022, 443, [1, 2, 3, 4, 0], [0, 15, 30, 45, -1], [15, 30, 45, 60, -1])
(161, 952, 82, [1, 2, 3, 4, 0], [0, 15, 30, 45, -1], [15, 30, 45, 60, -1])
(162, 404, 145, [1, 2, 3, 4, 0], [0, 15, 30, 45, -1], [15, 30, 45, 60, -1])
(163, 396, 110, [1, 2, 3, 4, 0], [0, 15, 30, 45, -1], [15, 30, 45, 60, -1])
(164, 404, 83, [1, 2, 3, 4, 0], [0, 15, 30, 45, -1], [15, 30, 45, 60, -1])
(165, 395, 97, [1, 2, 3, 4, 0], [0, 15, 30, 45, -1], [15, 30, 45, 60, -1])
(166, 389, 126, [1, 2, 3, 4, 0], [0, 15, 30, 45, -1], [15, 30, 45, 60, -1])
(167, 405, 93, [1, 2, 3, 4, 0], [0, 15, 30, 45, -1], [15, 30, 45, 60, -1])
(168, 1043, 396, [1, 2, 3, 4, 0], [0, 15, 30, 45, -1], [15, 30, 45, 60, -1])
(169, 993, 401, [1, 2, 3, 4, 0], [0, 15, 30, 45, -1], [15, 30, 45, 60, -1])
(170, 1755, 91, [1, 2, 3, 4, 0], [0, 15, 30, 45, -1], [15, 30, 45, 60, -1])
(171, 924, 74, [1, 2, 3, 4, 0], [0, 15, 30, 45, -1], [15, 30, 45, 60, -1])
(172, 203, 217, [1, 2, 3, 4, 0], [0, 15, 30, 45, -1], [15, 30, 45, 60, -1])
(173, 1513, 36, [1, 2, 3, 4, 0], [0, 15, 30, 45, -1], [15, 30, 45, 60, -1])
(174, 185, 138, [1, 2, 3, 4, 0], [0, 15, 30, 45, -1], [15, 30, 45, 60, -1])
(175, 1028, 411, [1, 2, 3, 4, 0], [0, 15, 30, 45, -1], [15, 30, 45, 60, -1])
(176, 1039, 417, [1, 2, 3, 4, 0], [0, 15, 30, 45, -1], [15, 30, 45, 60, -1])
(177, 874, 404, [1, 2, 3, 4, 0], [0, 15, 30, 45, -1], [15, 30, 45, 60, -1])
(178, 1019, 396, [1, 2, 3, 4, 0], [0, 15, 30, 45, -1], [15, 30, 45, 60, -1])
(179, 1127, 63, [1, 2, 3, 4, 0], [0, 15, 30, 45, -1], [15, 30, 45, 60, -1])
(180, 1053, 446, [1, 2, 3, 4, 0], [0, 15, 30, 45, -1], [15, 30, 45, 60, -1])
(181, 391, 86, [1, 2, 3, 4, 0], [0, 15, 30, 45, -1], [15, 30, 45, 60, -1])
(182, 194, 217, [1, 2, 3, 4, 0], [0, 15, 30, 45, -1], [15, 30, 45, 60, -1])
(183, 1000, 414, [1, 2, 3, 4, 0], [0, 15, 30, 45, -1], [15, 30, 45, 60, -1])
(184, 1593, 109, [1, 2, 3, 4, 0], [0, 15, 30, 45, -1], [15, 30, 45, 60, -1])
(185, 1028, 411, [1, 2, 3, 4, 0], [0, 15, 30, 45, -1], [15, 30, 45, 60, -1])
(186, 1007, 395, [1, 2, 3, 4, 0], [0, 15, 30, 45, -1], [15, 30, 45, 60, -1])
(187, 787, 121, [1, 2, 3, 4, 0], [0, 15, 30, 45, -1], [15, 30, 45, 60, -1])
(188, 1050, 404, [1, 2, 3, 4, 0], [0, 15, 30, 45, -1], [15, 30, 45, 60, -1])
(189, 991, 108, [1, 2, 3, 4, 0], [0, 15, 30, 45, -1], [15, 30, 45, 60, -1])
(190, 1039, 390, [1, 2, 3, 4, 0], [0, 15, 30, 45, -1], [15, 30, 45, 60, -1])
(191, 203, 212, [1, 2, 3, 4, 0], [0, 15, 30, 45, -1], [15, 30, 45, 60, -1])
(192, 1023, 396, [1, 2, 3, 4, 0], [0, 15, 30, 45, -1], [15, 30, 45, 60, -1])
(193, 396, 83, [1, 2, 3, 4, 0], [0, 15, 30, 45, -1], [15, 30, 45, 60, -1])
(194, 375, 59, [1, 2, 3, 4, 0], [0, 15, 30, 45, -1], [15, 30, 45, 60, -1])
(195, 962, 429, [1, 2, 3, 4, 0], [0, 15, 30, 45, -1], [15, 30, 45, 60, -1])
(196, 1171, 388, [1, 2, 3, 4, 0], [0, 15, 30, 45, -1], [15, 30, 45, 60, -1])
(197, 879, 55, [1, 2, 3, 4, 0], [0, 15, 30, 45, -1], [15, 30, 45, 60, -1])
(198, 1085, 442, [1, 2, 3, 4, 0], [0, 15, 30, 45, -1], [15, 30, 45, 60, -1])
(199, 1058, 483, [1, 2, 3, 4, 0], [0, 15, 30, 45, -1], [15, 30, 45, 60, -1])
(200, 960, 395, [1, 2, 3, 4, 0], [0, 15, 30, 45, -1], [15, 30, 45, 60, -1])
